/AA|Anchorage, AK: (Anchorage Mean)
MZL|Manizales, Colombia: Santagueda
MZM|Metz, France: Metz/Frescaty
MZN|Minj, Papua New Guinea: Minj Airport
MZO|Manzanillo, Cuba: Manzanillo Airport
MZP|Motueka, Nz|
MZR|Mazar-I-Sherif, Afghanistan: Mazar I Sharif
MZT|Mazatlan, Mexico: General Rafael Buelna International
MZV|Mulu, My|
MZW,
MZZ|Marion, IN: Marion Municipal
N/A|No Activity|
N47|Pottstown, PA: Pottstown Municipal
N87|Robbinsville, NJ: Trenton-Robbinsville
NAA|Narrabri, Australia: Narrabri Airport
NAD|North Adams, MA: Harriman - and - West
NAG|Nagpur, India: Nagpur Airport
NAH|Naha, Id|
NAJ|Nakhichevan, Az|
NAK|Nakhon Ratchasima, Thailand: Nakhon Ratchasima Airport
NAL|Nalchik, Ru|
NAM|Namlea, Id|
NAN|Nadi, Fiji Islands: Nadi International
NAO|Nanchong, China: Nanchong Airport
NAP|Naples, Italy: Napoli/Capodichino
NAQ|Unknown Code Description|
NAR|Nare, Co|
NAS|Nassau, Bahamas: Nassau International
NAT|Natal, Brazil: Augusto Severo
NAU|Napuka Islnd, French Polynesia: Napuka
NAV|Naukiti, Alaska|
NAW|Narathiwat, Th|
NAX|Barbers Point, HI: Barbers Point Nas
NAY|Beijing, Cn|
NAZ|Star Harbour, Solomon Islands: Nana
NBA|Nambaiyufa, Papua New Guinea: Nambaiyufa Airport
NBB|Barrancominas, Co|
NBC|Naberevnye Chelny, Russia (European): Nizhnekamsk
NBG|New Orleans, LA: New Orleans Nas
NBJ|Newburgh, NY: Newburgh Airport
NBK|Bangkok, Thailand: Suvarnabhumi International
NBL|San Blas, Panama Republic: El Porvenir
NBO|Nairobi, Kenya: Jomo Kenyatta International
NBU|Glenview, IL: Glenview Nas
NBW|Guantanamo, Cuba: Guantanamo Bay Nas
NBX|Nabire, Id|
NC1|Gastonia, NC: Gastonia Municipal
NC2|Smithfield, NC: Johnston County
NC3|Shelby, NC: Shelby Municipal
NC4|Currituck, NC: Currituck County
NC5|Kenansville, NC: Duplin County
NCA|North Caicos, Turks and Caicos Islands-UK: North Caicos Airport
NCC,
NCE|Nice, France: Nice/Cote D Azur
NCH|Nachingwea, Tanzania: Nachingwea Airport
NCI|Necocli, Colombia: Necocli Airport
NCL|Newcastle, United Kingdom: Newcastle Airport
NCN|New Chenega, AK: New Chenega Airport
NCO|Quonset Point, RI: Quonset State
NCP|Luzon Island, Philippines: Cubi Point Nas
NCQ|Marietta, GA: Atlanta Nas
NCR|San Carlos, Ni|
NCS|New Castle, Republic Of South Africa: New Castle S. Africa
NCT|Nicoya, Costa Rica: Nicoya Airport
NCU|Nukus, Uzbekistan: Nukus Airport
NCY|Annecy, France: Annecy/Meythet
NDA|Bandanaira, Id|
NDB|Nouadhibou, Mauritania: Nouadhibou
NDC|Nanded, India: Nanded Airport
NDE|Mandera, Ke|
NDG|Qiqihar, Cn|
NDI|North Dutch Island, AK: Ak
NDJ|Ndjamena, Chad: Ndjamena Airport
NDK|Namorik Atoll, Mh|
NDL|Ndele, Central African Republic: Ndele Airport
NDM|Mendi, Et|
NDR|Nador, Morocco: Nador Airport
NDU|Rundu, Na|
NDY|Sanday, Gb|
NDZ|Nordholz, Germany: Nordholz Airport
NE1|Gothenburg, NE: Quinn Field
NE2|Blair, NE: Blair Municipal
NEA|Glynco, GA: Glynco Nas
NEC|Necochea, Ar|
NEF|Neftekamsk, Ru|
NEG|Negril, Jamaica: Negril Airport
NEJ|Nejjo, Et|
NEK|Nekemt, Ethiopia: Nekempti
NEL|Lakehurst, NJ: Lakehurst Naec
NER|Neryungri, Russia (Asian): Neryungri Airport
NET|New Bight, Bahamas: New Bight Airport
NEU|Sam Neua, Laos: Sam Neua Airport
NEV|Nevis, St. Kitts and Nevis: Newcastle
NEW|New Orleans, LA: Lakefront
NFG|Nefteyugansk, Ru|
NFL|Fallon, NV: Fallon Nas
NFO|Niuafo'ou, To|
NGA|Young, Australia: Young Airport
NGB|Ningbo, China: Ningbo Airport
NGC|Grand Canyon, AZ: North Rim
NGD|Anegada, British Virgin Islands-UK: Anegada
NGE|N'gaoundere, Cameroons: Ngaoundere
NGF|Kaneohe Bay, HI: Kaneohe Bay Mcas
NGI|Ngau Island, Fj|
NGL|Ngala, Za|
NGM|Guam, TT: Agana Nas
NGO|Nagoya, Japan: Nagoya Airport
NGP|Corpus Christi, TX: Corpus Christi Nas
NGS|Nagasaki, Japan: Nagasaki Airport
NGU|Norfolk, VA: Norfolk Nas
NGX|Manang, Np|
NGZ|Alameda, CA: Alameda Nas
NHA|Nha-Trang, Vietnam: Nha Trang
NHD|Minhad, United Arab Emirates: Minhad Ab
NHK|Patuxent River, MD: Patuxent River Nas
NHT|Northolt, United Kingdom: Northolt Airport
NHV|Nuku Hiva, French Polynesia: Nuku Hiva Fr.Poly.
NHZ|Brunswick, ME: Brunswick Nas
NIA|Nimba, Liberia: Nimba Airport
NIB|Nikolai, AK: Nikolai Airport
NIC|Nicosia, Cyprus: Nicosia Airport
NIE|Niblack, AK: Niblack Airport
NIG|Nikunau, Kiribati (Gilbert and Canton Islands): Nikunau Airport
NIM|Niamey, Niger: Niamey Airport
NIN|Ninilchik, AK: Ninilchik Airport
NIP|Jacksonville, FL: Jacksonville Nas
NIT|Niort, France: Niort Airport
NIX|Nioro, Mali: Nioro Airport
NJ1|Berlin, NJ: Camden County
NJA|Atsugi, Japan: Atsugi Airport
NJC|Nizhnevartovsk, Russia (Asian): Nizhnevartovsk Airport
NJK|El Centro, CA: El Centro Navy Air Field
NKA|Nkan, Gabon: Nkan Airport
NKC|Nouakchott, Mauritania: Nouakchott Airport
NKG|Nanjing, China: Nanjing Airport
NKI|Naukiti, AK: Naukiti Airport
NKM|Nagoya, Japan: Nagoya - Komaki
NKN|Nankina, Papua New Guinea: Nankina Airport
NKS|Nkongsamba, Cameroons: Nkongsamba Airport
NKT|Cherry Point, NC: Cherry Point Mcas
NKV|Nichen Cove, AK: Nichin Cove Sea Plane Base
NKW|Diego Garcia I., British Indian Ocean Territory-UK: Diego Garcia Nsf
NKX|San Diego, CA: Miramar Nas
NKY|Nkayi, Cg|
NLA|N'dola, Zambia: Ndola
NLC|Lemoore, CA: Lemoore Nas
NLD|Nuevo Laredo, Mexico: Nuevo Laredo International
NLF|Darnley Island, Au|
NLG|Nelson Lagoon, AK: Nelson Lagoon Airport
NLK|Norfolk Island, Australia: Norfolk Island Airport
NLO|N'dolo, Republic Of Congo: N'dolo A/D Kinshasa
NLP|Nelspruit, Republic Of South Africa: Nelspruit Airport
NLS|Nicholson, Australia: Nicholson Station
NLV|Nikolaev, Ua|
NMA|Namangan, Uz|
NMC|Norman's Cay, Bahamas: Norman
NME|Nightmute, AK: Nightmute Airport
NMG|San Miguel, Panama Republic: San Miguel Airport
NNB|Santa Ana, Sb|
NNG|Nanning, China: Nanning Airport
NNK|Naknek, AK: Naknek Airport
NNL|Nondalton, AK: Nondalton Airport
NNM|Naryan-Mar, Ru|
NNT|Nan, Th|
NNU|Nanuque, Brazil: Nanuque Airport
NNX|Nunukan, Id|
NNY|Nanyang, China: Nanyang Airport
NOA|Nowra, Australia: Nowra
NOB|Nosara Beach, Cr|
NOC|Connaught, Ireland: Ireland West Knock
NOG|Nogales, Mexico: Nogales Airport
NOJ|Nojabrxsk, Ru|
NOM|Nomad River, Pg|
NON|Nonouti, Kiribati (Gilbert and Canton Islands): Nonouti Airport
NOP|Mactan Island, Philippines: Mactan International
NOR|Nordfjordur, Iceland: Nordfjordur Airport
NOS|Nossi-Be, Madagascar: Fascene
NOT|Novato, CA: Gnoss Field
NOU|Noumea, New Caledonia - France: Tontouta
NOV|Huambo, Angola: Huambo Airport
NOZ|Novokuznetsk, Ru|
NPA|Pensacola, FL: Pensacola Nas Forrest Sherm
NPE|Napier, New Zealand: Napier Airport
NPH|Nephi, Ut|
NPL|New Plymouth, New Zealand: New Plymouth Airport
NPT|Newport, RI: Newport State
NQA|Memphis, TN: Memphis Nas
NQI|Kingsville, TX: Kingsville Nas
NQL|Niquelandia, Br|
NQN|Neuquen, Argentina: Neuquen Airport
NQT|New Nuiqsut, AK: New Nuiqsut Airport
NQU|Nuqui, Co|
NQX|Key West, FL: Key West Nas
NQY|Newquay, United Kingdom: St Mawgan
NRA|Narrandera, Australia: Narrandera Airport
NRB|Mayport, FL: Mayport Ns
NRD|Norderney, De|
NRE|Namrole, Id|
NRI|Shangri-La, OK: Shangri-La Airport
NRK|Norrkoping, Sweden: Kungsangen
NRL|North Ronaldsay, United Kingdom: No. Ronaldsay Scot.
NRR|Roosevelt Roads, PR: Roosevelt Roads Nas
NRT|Tokyo, Japan: Narita
NSA|Noosa, Australia: Noosa Aust.
NSB|Bimini, Bahamas: North Seaplane Base
NSE|Milton, FL: Whiting Field Nas North
NSF|Camp Springs, MD: Andrews Air Force Base /Naf
NSH|Unknown Code Description|
NSI|Yaounde, Cameroons: Nsimalen
NSK|Noril'sk, Ru|
NSL|Nasa Shuttle Landing, FL: Nasa Shuttle Landing Airport
NSM|Norseman, Au|
NSN|Nelson, New Zealand: Nelson Airport
NSO|Scone, Australia: Scone Airport
NST|Nakhon Si Thammarat, Thailand: Nakhon Si Thammarat Airport
NSX,
NSY|Sigonella, Italy: Sigonella Airport
NT1|Snap Lake, Canada: Snap Lake Mine / Debeers
NTB|Notodden, No|
NTC|Santa Carolina, Mz|
NTD|Port Hueneme, CA: Point Mugu Nas
NTE|Nantes, France: Nantes/Chateau Bougon
NTG|Nantong, Cn|
NTI|Bintuni, Id|
NTL|Newcastle, Australia: Williamtown
NTN|Normanton, Australia: Normanton Airport
NTO|Santo Antao, Cape Verde Islands: Santo Antao Airport
NTQ|Wajima, Japan: Noto
NTR|Monterrey, Mexico: Aeropuerto Del Norte International
NTT|Niuatoputapu Island, To|
NTU|Oceana, VA: Oceana Nas
NTY|Sun City, Republic Of South Africa: Pilanesberg
NUB|Numbulwar, Au|
NUE|Nuremberg, Germany: Nurnberg
NUG|Nuguria, Papua New Guinea: Nuguria Airport
NUI|Nuiqsut, AK: Nuiqsut Airport
NUL|Nulato, AK: Nulato Airport
NUN|Saufley Naval Air Station, FL: Saufley Nas
NUP|Nunapitchuk, AK: Nunapitchuk Airport
NUQ|Mountain View, CA: Moffett Field Nas
NUS|Norsup, Vu|
NUW|Whidbey Island, WA: Whidbey Island Nas
NUX|Novyy Urengoy, Ru|
NV1|Overton, NV: Perkins Field
NVA|Neiva, Colombia: La Manguita
NVD|Nevada, MO: Nevada Municipal
NVG|Nueva Guinea, Ni|
NVK|Narvik, Norway: Narvik Airport
NVR|Novgorod, Ru|
NVT|Navegantes, Brazil: Navegantes Airport
NWA|Moheli, Km|
NWI|Norwich, United Kingdom: Norwich Airport
NWN|Mount Newman, Australia: Newman
NWT|Nowata, Pg|
NWU|Bermuda Nas, Bermuda-UK: Bermuda Nas Airport
NXX|Willow Grove, PA: Willow Grove Nas
NY1|Kingston, NY: Kingston Ulster
NY2|Fulton, NY: Oswego County
NY3|Oneonta, NY: F and F Airpark
NYC|New York, NY: Metropolitan Area
NYE|Nyeri, Ke|
NYK|Nanyuki, Ke|
NYL|Yuma M. C. A. S., AZ: Yuma Mcas
NYM|Nadym, Ru|
NYN|Nyngan, Au|
NYO|Nykoping, Sweden: Skavsta
NYU|Nyaung-U, Myanmar: Bagan
NZC|Jacksonville, FL: Cecil Field Nas
NZJ|Santa Ana, CA: El Toro Mcas
NZW|South Weymouth, MA: South Weymouth Nas
NZY|San Diego, CA: North Island Nas
OAG|Orange, Australia: Orange Airport
OAJ|Jacksonville/Camp Lejeune, NC: Albert J Ellis
OAK|Oakland, CA: Metropolitan Oakland International
OAL|Cacoal, Br|
OAM|Oamaru, New Zealand: Oamaru Airport
OAN|Olanchito, Honduras: Olanchito Airport
OAX|Oaxaca, Mexico: Xoxocotlan
OAZ|Ocean City, NJ: Ocean City Municipal
OBC|Obock, Djibouti: Obock Airport
OBD|Obano, Id|
OBF|Oberpfaffenhofen, Germany: Oberpfaffenhofen Airport
OBI|Obidos, Br|
OBO|Obihiro, Japan: Obihiro Airport
OBS|Aubenas, France: Aubenas Airport
OBT|Oakland, MD: Garrett County
OBU|Kobuk, AK: Kobuk Airport
OBX|Obo, Pg|
OCA|Ocean Reef, FL: Ocean Reef Club
OCC|Coca, Ec|
OCE|Ocean City, MD: Ocean City Municipal
OCF|Ocala, FL: Ocala International
OCH|Nacogdoches, TX: East Texas Regional
OCI|Oceanic, AK: Ak    Thumb Bay
OCJ|Ocho Rios, Jamaica: Boscobel
OCN|Oceanside, CA: Oceanside Municipal
OCV|Ocana, Co|
OCW|Washington, NC: Warren Municipal Field
ODA|Ouadda, Central African Republic: Ouadda Airport
ODB|Cordoba, Spain: Cordoba Airport
ODD|Oodnadatta, Australia: Oodnadatta Airport
ODE|Odense, Denmark: Odense
ODM|Oakland, MD: Oakland
ODN|Long Seridan, My|
ODS|Odessa, Ukraine: Odessa Central
ODW|Oak Harbor, WA: Oak Harbor Airpark
ODY|Oudomxay, La|
OEC|Ocussi, East Timor-Indonesia: Ocussi Airport
OEL|Orel, Ru|
OER|Oernskoeldsvik, Sweden: Ornskoldsvik
OES|San Antonio Oeste, Ar|
OFF|Omaha, NE: Offutt Air Force Base
OFK|Norfolk, NE: Karl Stefan Memorial
OFU|Ofu, TT: Ofu Airport
OGA|Ogallala, NE: Searle Field
OGB|Orangeburg, SC: Orangeburg Airport
OGD|Ogden, UT: Ogden Municipal
OGG|Kahului, HI: Kahului Airport
OGN|Yonaguni-Jima, Japan: Yonaguni-Jima Airport
OGS|Ogdensburg, NY: Ogdensburg International
OGV|Ongava Game Reserve, Na|
OGX|Ouargla, Dz|
OGZ|Unknown Code Description|
OH1|Washington Court House, OH: Fayette County Municipal
OH2|Bellefontaine, OH: Bellefontaine Regional
OH3|Chillicothe, OH: Ross County
OH4|Marysville, OH: Union County
OH5|Cincinnati, OH: Cincinnati - Blue Ash
OH6|Ravenna, OH: Portage County
OH7|Kent, OH: Kent State University
OHA|Ohakea, New Zealand: Ohakea Airport
OHC|Northeast Cape, AK: Northeast Cape Afs
OHD|Ohrid, Macedonia: Ohrid Airport
OHI|Oshakati, Namibia: Oshakati Airport
OHO|Okhotsk, Ru|
OHR|Wyk Auf Fohr, Germany: Wyk Auf Fohr Airport
OIC|Norwich, NY: Eaton
OIM|Oshima Islands, Japan: Oshima
OIR|Okushiri, Jp|
OIT|Oita, Japan: Oita Old
OJC|Kansas City, MO: Johnson County Executive
OJK|Prestwick, United Kingdom: Prestwick Airport
OKA|Okinawa, Japan: Naha
OKC|Oklahoma City, OK: Will Rogers World
OKD|Sapporo, Japan: Okadama
OKE|Okino Erabu, Jp|
OKI|Oki Island, Jp|
OKJ|Okayama, Japan: Okayama Airport
OKK|Kokomo/Logansport/Peru, IN: Kokomo Municipal
OKL|Oksibil, Id|
OKN|Okondja, Gabon: Okondja Airport
OKO|Tokyo, Japan: Yokota Ab
OKQ|Okaba, Id|
OKR|Yorke Island, Australia: Yorke Island Airport
OKT|Oktiabrskij, Ru|
OKU|Mokuti Lodge, Na|
OKY|Oakey, Australia: Oakey Airport
OLA|Orland, Norway: Orland Airport
OLB|Olbia, Italy: Costa Smeralda
OLE|Olean, NY: Olean Municipal
OLF|Wolf Point, MT: Wolf Point International
OLH|Old Harbor, AK: Old Harbor Airport
OLI|Olafsvik, Iceland: Rif
OLJ|Olpoi, Vu|
OLK|Unknown Code Description|
OLM|Olympia, WA: Olympia Airport
OLO|Olomouc, Czech Republic: Olomouc Airport
OLP|Olympic Dam, Australia: Olympic Dam Airport
OLS|Nogales, AZ: Nogales International
OLU|Columbus, NE: Columbus Municipal
OLV|Olive Branch, MS: Olive Branch
OMA|Omaha, NE: Eppley Airfield
OMB|Omboue, Gabon: Omboue Airport
OMD|Oranjemund, Na|
OME|Nome, AK: Nome Airport
OMH|Urmieh, Iran: Uromiyeh
OMJ|Omura/Nagasaki, Japan: Omura
OMK|Omak, WA: Omak
OML|Omkalai, Papua New Guinea: Omkalai
OMO|Mostar, Bosnia and Herzegovina: Mostar Airport
OMR|Oradea, Romania: Oradea Airport
OMS|Omsk, Russia (Asian): Omsk Airport
ONA|Winona, MN: Winona Muni/Max Conrad Field
ONB|Ononge, Pg|
OND|Ondangwa, Namibia: Ondangwa Airport
ONG|Mornington Island, Australia: Mornington Island Airport
ONH|Oneonta, NY: Oneonta Municipal
ONI|Moanamani, Id|
ONJ|Odate Noshiro, Japan: Odate Noshiro Airport
ONL|Oneill, NE: Oneill Municipal
ONM|Socorro, NM: Socorro Municipal
ONN|Onion Bay, AK: Onion Bay Airport
ONO|Ontario, OR: Ontario Municipal
ONP|Newport, OR: Newport Airport
ONT|Ontario/San Bernardino, CA: La/Ontario International
ONX|Colon, Panama Republic: Enrique Adolfo Jimenez
OOB|Cobol, AK: Cobol Alaska/Scaled/
OOK|Toksook, AK: Toksook Bay
OOL|Gold Coast, Australia: Coolangatta
OOM|Cooma, Australia: Cooma Airport
OOR|Mooraberrie, Australia: Mooraberree Station
OOT|Onotoa, Ki|
OPA|Kopasker, Is|
OPB|Open Bay, Pg|
OPF|Miami, FL: Opa Locka
OPH|Ophir, AK: Ophir Airport
OPO|Porto, Portugal: Porto Airport
OPS|Sinop, Br|
OPU|Balimo, Pg|
OQA|Mcdonald Lake, AK: Mcdonald Lake Airport
OQB|Bible Camp, AK: Bible Camp Airport
OQC|Cinder River Lodge, AK: Cinder River Lodge Airport
OQD|Summit Lake, AK: Summit Lake Airport
OQE,
OQF|Lemesurier Island, AK: Lemesurier Island Airport
OQG|Tracy Arm, AK: Tracy Arm Airport
OQH|Port Althorp, AK: Port Althorp Airport
OQI|Vrems, AK: Vrems Airport
OQK|Akolik, AK: Akolik Airport
OQL|Mels, AK: Mels Airport
OQM|Meshik, AK: Meshik Airport
OQN|Telaquana Lake, AK: Telaquana Lake Airport
OQO|Chelatna Lake Lodge, AK: Chelatna Lake Lodge Airport
OQP|Pumice, AK: Pumice Airport
OQQ|Point Alsworth, AK: Points Alsworth
OQR|Twin Lakes, AK: Twin Lakes Airport
OQS|Sandy, AK: Sandy Airport
OQT|Paramanof Bay, AK: Paramanof Bay Airport
OQU|Waterkloof, Republic Of South Africa: Waterkloof Air Force Base
OQV|Shirleyville, AK: Shirleyville Airport
OQW|Doug Carney Strip, AK: Doug Carney Strip Airport
OQX|Shisholik, AK: Shisholik Airport
OQY|Sivinuvik, AK: Camp Sivinuvik
OQZ|American Creek, AK: American Creek Airport
OR1|Grants Pass, OR: Grants Pass
OR2|Gleneden, OR: Siletz Bay State
ORA|Oran, Ar|
ORB|Orebro, Sweden: Orebro Airport
ORC|Orocue, Colombia: Orocue Airport
ORD|Chicago, IL: O'Hare
ORF|Norfolk, VA: Norfolk International
ORG|Zorg En Hoop, Surinam: Zorg En Hoop
ORH|Worcester, MA: Worchester Municipal
ORI|Port Lions, AK: Port Lions Airport
ORK|Cork, Ireland: Cork Airport
ORL|Orlando, FL: Herndon
ORN|Oran, Algeria: Es Senia
ORO|Yoro, Honduras: Yoro Honduras
ORP|Orapa, Botswana: Orapa Airport
ORT|Northway, AK: Northway Airport
ORU|Oruro, Bolivia: Juan Mendoza
ORV|Noorvik, AK: Robert Curtis Memorial
ORW|Ormara, Pk|
ORX|Oriximina, Br|
ORY|Paris, France: Orly
ORZ|Orange Walk, Belize: Orange Walk Airport
OSA|Osaka, Japan: (Osaka Mean)
OSB|Osage Beach, MO: Grand Glaize -Osage Beach
OSC|Oscoda, MI: Wurtsmith Air Force Base
OSD|Ostersund, Sweden: Froson
OSE|Unknown Code Description|
OSH|Oshkosh, WI: Wittman Field
OSI|Osijek, Croatia: Osijek
OSK|Oskarshamn, Sweden: Oskarshamn
OSL|Oslo, Norway: Oslo
OSM|Mosul, Iraq: Mosul Airport
OSN|Osan, South Korea: Osan Ab
OSP|Slupsk, Poland: Slupsk Airport
OSR|Ostrava, Czech Republic: Mosnov
OSS|Osh, Kg|
OST|Ostend, Belgium: Oostende
OSU|Columbus, OH: Ohio State University
OSW|Orsk, Ru|
OSX|Kosciusko, MS: Kosciusko/Attala County
OSY|Namsos, Norway: Namsos
OSZ|Koszalin, Poland: Koszalin
OTD|Contadora, Panama Republic: Isla Contadora
OTG|Worthington, MN: Worthington Municipal
OTH|North Bend/Coos Bay, OR: North Bend Municipal
OTI|Morotai Island, Id|
OTM|Ottumwa, IA: Ottumwa Industrial
OTP|Bucharest, Romania: Otopeni
OTR|Coto 47, Costa Rica: Coto 47 Airport
OTS|Anacortes, WA: Anacortes Airport
OTU|Otu, Colombia: Otu Airport
OTV|Unknown Code Description|
OTY|Oria, Papua New Guinea|
OTZ|Kotzebue, AK: Ralph Wien Memorial
OUA|Ouagadougou, Burkina Faso: Ouagadougou Airport
OUD|Oujda, Morocco: Oujda/Angad
OUE|Ouesso, Congo: Ouesso Airport
OUH|Oudtshoorn, Republic Of South Africa: Oudtshoorn Airport
OUL|Oulu, Finland: Oulu Airport
OUN|Norman, OK: Max Westheimer
OUR|Batouri, Cameroons: Batouri Airport
OUZ|Unknown Code Description|
OVA|Bekily, Madagascar: Bekily Airport
OVB|Novosibirsk, Russia (Asian): Tolmachevo
OVD|Oviedo, Spain: Oviedo Airport
OVE|Oroville, CA: Oroville Municipal
OVL|Ovalle, Cl|
OVR|Unknown Code Description|
OWA|Owatonna, MN: Owatonna Municipal
OWB|Owensboro, KY: Owensboro Daviess County
OWD|Norwood, MA: Norwood Memorial
OWG|Gray, Austria: Gray
OXB|Bissau, Guinea Bissau: Osvaldo Vieira
OXC|Waterbury, CT: Waterbury Oxford
OXF|Unknown Code Description|
OXR|Oxnard/Ventura, CA: Ventura County
OXV,Knoxville: Knoxville Municipal Airport
OYA|Goya, Argentina: Goya Airport
OYE|Oyem, Gabon: Oyem Gabon
OYG|Unknown Code Description|
OYK|Oiapoque, Brazil: Oiapoque Airport
OYO|Tres Arroyos, Argentina: Tres Arroyos Airport
OYP|Unknown Code Description|
OYS|Yosemite National Park, CA: Yosemite National Park Airport
OZA|Ozona, TX: Ozona Municipal
OZC|Ozamis City, Philippines: Misamis
OZH|Zaporozh'ye, Ukraine: Zaporozh'ye Airport
OZP|Moron, Spain: Moron Ab
OZR|Ozark, AL: Cairns Army Air Field
OZZ|Ouarzazate, Ma|
PA1|Montrose, PA: Husky Haven
PA2|Bedford, PA: Bedford County
PAA|Pa-An, Myanmar: Helipad a An
PAC|Panama City, Pa|
PAD|Paderborn, Germany: Paderborn/Lippstadt
PAE|Everett, WA: Snohomish County Paine Field
PAF|Unknown Code Description|
PAG|Pagadian, Philippines: Pagadian Airport
PAH|Paducah, KY: Barkley
PAJ|Para Chinar, Pk|
PAK|Hanapepe, HI: Port Allen
PAL|Port Althorp, AK: Port Althorp Alas
PAM|Panama City, FL: Tyndall Air Force Base
PAN|Pattani, Thailand: Pattani Airport
PAO|Palo Alto, CA: Palo Alto Of Santa
PAP|Port Au Prince, Haiti: Bowen
PAQ|Palmer, AK: Palmer Municipal
PAR|Paris, France: Paris Airport
PAS|Paros, Greece: Paros Airport
PAT|Patna, India: Patna Airport
PAV|Paulo Alfonso, Brazil: Paulo Afonso
PAX|Port De Paix, Haiti: Port De Paix
PAY|Pamol, Malaysia: Tungud/Pamol
PAZ|Poza Rica, Mexico: Tajin
PBA|Point Barrow, AK: Point Barrow Narl
PBC|Puebla, Mexico: Puebla Airport
PBD|Porbandar, India: Porbandar Airport
PBE|Puerto Berrio, Co|
PBF|Pine Bluff, AR: Grider Field
PBG|Plattsburg, NY: Plattsburg International
PBH|Pario, Bhutan: Pario
PBI|West Palm Beach/Palm Beach, FL: Palm Beach International
PBJ|Paama, Vu|
PBK|Pack Creek, AK: Pack Creek Airport
PBL|Puerto Cabello, Venezuela: Bartolome Salom
PBM|Zanderij, Surinam: Zanderij International
PBN|Porto Amboim, Angola: Porto Amboim Airport
PBO|Paraburdoo, Australia: Paraburdoo
PBP|Punta Islita, Cr|
PBR|Puerto Barrios, Guatemala: Puerto Barrios Guat
PBS|Patong Beach, Th|
PBU|Putao, Mm|
PBX|Porto Alegre Do Norte, Br|
PBY|Peppers Palm Bay, Australia: Peppers Palm Bay Airport
PBZ|Plettenberg, Republic Of South Africa: Plettenbergbaai
PCA|Portage Creek, AK: Portage Creek Airport
PCC|Puerto Rico, Colombia: Puerto Rico Airport
PCD|Prairie Du Chien, WI: Prairie Du Chien Municipal
PCE|Painter Creek, AK: Painter Creek Airport
PCG|Paso Caballos, Guatemala: Paso Caballos Airport
PCH|Palacios, Hn|
PCJ|Unknown Code Description|
PCK|Porcupine Creek, AK: Porcupine Creek Airport
PCL|Pucallpa, Peru: Yarinacocha
PCM|Playa Del Carmen, Mx|
PCP|Principe Island, St|
PCR|Puerto Carreno, Co|
PCT|Princeton, NJ: Princeton Airport
PDA|Puerto Inirida, Colombia: Puerto Inirida Airport
PDB|Pedro Bay, AK: Pedro Bay Airport
PDC|Mueo, New Caledonia - France: Mueo Airport
PDG|Padang, Indonesia: Tabing
PDH|Port De Paix, Haiti: Port De Paix Airport
PDI|Unknown Code Description|
PDK|Atlanta, GA: Dekalb Peachtree
PDL|Ponta Delgada, Portugal: Ponta Delgada Airport
PDN|Parndana, Au|
PDP|Punta Del Este, Uruguay: Punta Del Este Airport
PDS|Piedras Negras, Mexico: Piedras Negras International
PDT|Pendleton, OR: Pendleton Municipal
PDU|Paysandu, Uruguay: Paysandu Airport
PDV|Plovdiv, Bulgaria: Plovdiv Airport
